RDX,101426821
X3,200420853
Equinox,200428881
Traverse,200442768
Edge,101420094
Escape,101420857
Terrain,200428991
CR-V,200436018
Liberty,101399587
Patriot,200438528
Sorento,101424419
RX-350,200419751
CX-5,101384756
Rogue,200429084
Forester,200426211
RAV4,200445606
XC60,200424123
Sonic-Hatchback,200430026
Spark,200417979
500,200440784
Fiesta,200421602
Fit,200429045
Insight,200437630
Accent-Hatchback,200422138
Forte-Hatchback,200426691
Rio,200419058
Soul,200426349
Mazda2-Hatchback,200438365
Mazda3-Hatchback,200439725
Cooper-Countryman,200459293
Lancer-Sportback,200427504
Outlander,200427564
Cube,200443263
iQ,200427368
xB,200461784
xD,200442987
fortwo,200418485
Impreza-Hatchback,200432641
Prius-V-Wagon,200440736
Yaris,200442451
Beetle,200433897
C30-Wagon,200425620
ILX-Hybrid,101418787
Malibu-Hybrid,101323920
C-Max-Hybrid,101407344
Fusion-Hybrid,200422408
Civic-Hybrid,200460762
Insight-Hybrid,200437628
M35h-Hybrid,200428551
ES-300h-Hybrid,101426944
MKZ-Hybrid,200428424
S400-Hybrid,200434468
Avalon-Hybrid,200442251
Camry-Hybrid,200444459
Prius-C-Hybrid,200444499
Prius-Hybrid,200440604
Jetta-Hybrid,200440955
Town-&-Country,200436311
Grand-Caravan,200436461
Odyssey,200433273
Mazda5,200441891
Quest,200437068
Sienna,200435877
ILX,101418219
Cruze,200424071
Malibu-Sedan,200426084
Sonic-Sedan,200429489
200,200437794
300,200438662
Avenger,200436358
Focus,200421425
Fusion,200421097
Taurus,101420511
Accord,200434885
Civic,200460764
Accent-Sedan,200422136
Elantra,101426254
Sonata,200417706
Optima,200425944
Rio-Sedan,200419055
Mazda3-Sedan,200439723
Mazda6,200420230
Lancer-Sedan,200427405
Altima,200418420
Sentra-Sedan,200440362
Versa-Sedan,200439763
Impreza,200432638
Legacy,200424085
Avalon,200442098
Camry,200444387
Corolla,200466155
Jetta-GLI,200435069
Jetta-Sedan,200434619
Passat,200431136
Q5,200437178
X5,200420454
Tahoe,200426450
Explorer,101420026
Flex,101420573
Acadia,200444572
Pilot,200433130
JX35,101385284
Grand-Cherokee,200435619
Wrangler,200438413
CX-9,200441360
Pathfinder,200439518
Highlander,200436560
Touareg,200436477
Escalade-EXT,200428854
Black-Diamond-Avalanche-Crew,200443684
Silverado-1500,200430032
2500,200461688
F-150,200433103
Sierra-1500,200430347
Ridgeline,200440545
Frontier,200465005
Titan,200440973
Tacoma,200431843
Tundra,200439172
A3-TDI-Diesel-Wagon,200421450
C-Max-Hybrid-Wagon,101407344
Flex-Wagon,101420572
Outback,200425503
Venza-Wagon,200422450
Jetta-SportWagen,200434949
